feature,score
brand_id,7363
equipment_quality,4452
total_quality,2583
car_length,2392
price,2364
year,2297
power,2106
car_height,1878
engine_torque,1685
month,1414
car_width,1201
emission_standards_id,1147
wheelbase,1090
displacement,882
front_track,786
rear_track,714
department_id,614
TR,579
price_level,461
gearbox_type6,421
driven_type_id,299
gearbox_type2,224
level_id,205
type_id,180
compartment,160
rated_passenger,148
gearbox_type5,122
gearbox_type4,76
fuel_type_id,60
if_charging1,54
gearbox_type1,48
if_charging2,40
cylinder_number,28
newenergy_type_id,28
if_MPV_id,26
if_luxurious_id,23
gearbox_type7,22
gearbox_type3,21
